id,label
000001.jpg,0
000002.jpg,0
000003.jpg,0
000004.jpg,0
000005.jpg,0
000006.jpg,0
000007.jpg,0
000008.jpg,0
000009.jpg,0
000010.jpg,1
000011.jpg,0
000012.jpg,0
000013.jpg,2
000014.jpg,0
000015.jpg,1
000016.jpg,0
000017.jpg,0
000018.jpg,0
000019.jpg,0
000020.jpg,1
000021.jpg,2
000022.jpg,0
000023.jpg,0
000024.jpg,0
000025.jpg,0
000026.jpg,0
000027.jpg,0
000028.jpg,0
000029.jpg,0
000030.jpg,0
000031.jpg,0
000032.jpg,0
000033.jpg,0
000034.jpg,0
000035.jpg,0
000036.jpg,0
000037.jpg,0
000038.jpg,2
000039.jpg,0
000040.jpg,0
000041.jpg,2
000042.jpg,0
000043.jpg,0
000044.jpg,2
000045.jpg,0
000046.jpg,0
000047.jpg,0
000048.jpg,0
000049.jpg,0
000050.jpg,0
000051.jpg,0
000052.jpg,0
000053.jpg,2
000054.jpg,2
000055.jpg,0
000056.jpg,0
000057.jpg,0
000058.jpg,0
000059.jpg,0
000060.jpg,2
000061.jpg,0
000062.jpg,0
000063.jpg,1
000064.jpg,0
000065.jpg,0
000066.jpg,2
000067.jpg,0
000068.jpg,0
000069.jpg,2
000070.jpg,0
000071.jpg,2
000072.jpg,1
000073.jpg,1
000074.jpg,0
000075.jpg,2
000076.jpg,0
000077.jpg,2
000078.jpg,0
000079.jpg,0
000080.jpg,0
000081.jpg,0
000082.jpg,0
000083.jpg,1
000084.jpg,0
000085.jpg,0
000086.jpg,0
000087.jpg,0
000088.jpg,1
000089.jpg,0
000090.jpg,2
000091.jpg,0
000092.jpg,0
000093.jpg,0
000094.jpg,0
000095.jpg,0
000096.jpg,0
000097.jpg,2
000098.jpg,0
000099.jpg,0
000100.jpg,0
000101.jpg,0
000102.jpg,2
000103.jpg,0
000104.jpg,0
000105.jpg,0
000106.jpg,1
000107.jpg,0
000108.jpg,0
000109.jpg,0
000110.jpg,0
000111.jpg,0
000112.jpg,1
000113.jpg,0
000114.jpg,2
000115.jpg,0
000116.jpg,2
000117.jpg,0
000118.jpg,0
000119.jpg,0
000120.jpg,0
000121.jpg,0
000122.jpg,2
000123.jpg,0
000124.jpg,0
000125.jpg,0
000126.jpg,0
000127.jpg,2
000128.jpg,0
000129.jpg,2
000130.jpg,0
000131.jpg,0
000132.jpg,2
000133.jpg,2
000134.jpg,0
000135.jpg,1
000136.jpg,0
000137.jpg,0
000138.jpg,0
000139.jpg,2
000140.jpg,0
000141.jpg,0
000142.jpg,0
000143.jpg,0
000144.jpg,0
000145.jpg,2
000146.jpg,2
000147.jpg,0
000148.jpg,0
000149.jpg,2
000150.jpg,2
000151.jpg,1
000152.jpg,2
000153.jpg,0
000154.jpg,0
000155.jpg,1
000156.jpg,0
000157.jpg,0
000158.jpg,2
000159.jpg,0
000160.jpg,0
000161.jpg,0
000162.jpg,0
000163.jpg,0
000164.jpg,2
000165.jpg,0
000166.jpg,0
000167.jpg,0
000168.jpg,0
000169.jpg,0
000170.jpg,0
000171.jpg,0
000172.jpg,0
000173.jpg,0
000174.jpg,1
000175.jpg,0
000176.jpg,0
000177.jpg,0
000178.jpg,0
000179.jpg,0
000180.jpg,1
000181.jpg,2
000182.jpg,0
000183.jpg,0
000184.jpg,2
000185.jpg,0
000186.jpg,0
000187.jpg,2
000188.jpg,0
000189.jpg,0
000190.jpg,1
000191.jpg,0
000192.jpg,0
000193.jpg,2
000194.jpg,0
000195.jpg,0
000196.jpg,2
000197.jpg,0
000198.jpg,0
000199.jpg,0
000200.jpg,2
000201.jpg,0
000202.jpg,0
000203.jpg,0
000204.jpg,0
000205.jpg,0
000206.jpg,1
000207.jpg,0
000208.jpg,0
000209.jpg,0
000210.jpg,0
000211.jpg,0
000212.jpg,0
000213.jpg,1
000214.jpg,2
000215.jpg,0
000216.jpg,0
000217.jpg,0
000218.jpg,0
000219.jpg,2
000220.jpg,0
000221.jpg,0
000222.jpg,0
000223.jpg,2
000224.jpg,0
000225.jpg,0
000226.jpg,0
000227.jpg,0
000228.jpg,0
000229.jpg,2
000230.jpg,0
000231.jpg,0
000232.jpg,0
000233.jpg,0
000234.jpg,0
000235.jpg,2
